,Query Path,SAT/UNSAT,Depths,algaroba with pause based on depth
40,../blocksworld/blocksworld_from_21_4_1_to_0_23_3_negated_goal_bmc_7.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 150, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W_X_Y_Z: 21, Record_left_center_right: 12, }",0.044025421142578125
41,../blocksworld/blocksworld_from_10_5_6_to_13_6_2_negated_goal_bmc_9.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 164, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 14, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U: 27, }",0.07012581825256348
42,../blocksworld/blocksworld_from_0_7_3_to_8_1_1_negated_goal_bmc_8.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 130, Enum_A_B_C_D_E_F_G_H_I_J: 24, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 13, }",0.06642961502075195
43,../blocksworld/blocksworld_from_3_4_6_to_1_9_3_negated_goal_bmc_1.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 51, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M: 3, Record_left_center_right: 6, }",0.04504561424255371
44,../blocksworld/blocksworld_from_8_2_1_to_10_1_0_negated_goal_bmc_8.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 131, Enum_A_B_C_D_E_F_G_H_I_J_K: 24, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 13, }",0.024485349655151367
45,../blocksworld/blocksworld_from_1_2_10_to_13_0_0_negated_goal_bmc_9.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 147, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M: 27, Record_left_center_right: 14, }",0.03011012077331543
46,../blocksworld/blocksworld_from_0_9_0_to_1_6_2_negated_goal_bmc_8.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 128, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I: 24, Record_left_center_right: 13, }",0.03266406059265137
47,../blocksworld/blocksworld_from_2_12_9_to_0_10_13_negated_goal_bmc_15.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 238, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W: 45, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 20, }",0.060463905334472656
48,../blocksworld/blocksworld_from_1_14_5_to_17_3_0_negated_goal_bmc_28.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 389, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T: 84, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 33, }",0.09133338928222656
49,../blocksworld/blocksworld_from_21_4_1_to_0_23_3_negated_goal_bmc_17.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 270, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W_X_Y_Z: 51, Record_left_center_right: 22, }",0.05460476875305176
