,Query Path,SAT/UNSAT,Depths,Algaroba
37,../blocksworld/blocksworld_from_1_2_10_to_13_0_0_negated_goal_bmc_9.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 147, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M: 27, Record_left_center_right: 14, }",1.1326053142547607
38,../blocksworld/blocksworld_from_13_1_5_to_8_4_7_negated_goal_bmc_2.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 75, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S: 6, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 7, }",0.12887239456176758
39,../blocksworld/blocksworld_from_8_2_1_to_10_1_0_negated_goal_bmc_8.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 131, Enum_A_B_C_D_E_F_G_H_I_J_K: 24, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 13, }",2.4219326972961426
40,../blocksworld/blocksworld_from_0_9_0_to_1_6_2_negated_goal_bmc_8.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 128, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I: 24, Record_left_center_right: 13, }",1.2092549800872803
41,../blocksworld/blocksworld_from_21_4_1_to_0_23_3_negated_goal_bmc_17.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 270, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W_X_Y_Z: 51, Record_left_center_right: 22, }",71.24035024642944
42,../blocksworld/blocksworld_from_8_10_1_to_5_9_5_negated_goal_bmc_16.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 244, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S: 48, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 21, }",65.22613501548767
43,../blocksworld/blocksworld_from_4_1_2_to_4_2_1_negated_goal_bmc_0.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 26, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G: 0, Record_left_center_right: 5, }",0.0948641300201416
44,../blocksworld/blocksworld_from_17_0_1_to_1_10_7_negated_goal_bmc_3.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 85, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R: 9, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 8, }",0.15942835807800293
45,../blocksworld/blocksworld_from_5_4_17_to_12_6_8_negated_goal_bmc_16.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 258, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W_X_Y_Z: 48, Record_left_center_right: 21, }",105.13460779190063
46,../blocksworld/blocksworld_from_17_2_1_to_19_1_0_negated_goal_bmc_15.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 234, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T: 45, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 20, }",47.19215726852417
47,../blocksworld/blocksworld_from_4_19_1_to_0_8_16_negated_goal_bmc_22.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 326, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W_X: 66, Record_left_center_right: 27, }",202.2230567932129
48,../blocksworld/blocksworld_from_13_0_1_to_11_0_3_negated_goal_bmc_21.smt2,{'algaroba with pause based on depth': 'unsat'},"{Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N: 63, Tower: 294, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 26, }",694.9780070781708
49,../blocksworld/blocksworld_from_8_6_9_to_13_1_9_negated_goal_bmc_21.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 312, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W: 63, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 26, }",864.584379196167
