,Query Path,length-before,length-after,ratio
66,../blocksworld/blocksworld_from_10_4_3_to_1_14_2_negated_goal_bmc_11.smt2,110,34283,311.6636363636364
67,../blocksworld/blocksworld_from_22_0_2_to_9_12_3_negated_goal_bmc_30.smt2,243,181831,748.2757201646091
68,../blocksworld/blocksworld_from_10_5_8_to_4_10_9_negated_goal_bmc_27.smt2,222,151621,682.9774774774775
69,../blocksworld/blocksworld_from_11_6_0_to_8_0_9_negated_goal_bmc_29.smt2,236,162014,686.5
70,../blocksworld/blocksworld_from_14_0_3_to_12_4_1_negated_goal_bmc_7.smt2,82,19014,231.8780487804878
71,../blocksworld/blocksworld_from_19_2_0_to_19_0_2_negated_goal_bmc_22.smt2,187,106494,569.4866310160428
72,../blocksworld/blocksworld_from_22_0_4_to_26_0_0_negated_goal_bmc_31.smt2,250,197469,789.876
73,../blocksworld/blocksworld_from_5_0_8_to_7_5_1_negated_goal_bmc_12.smt2,117,35851,306.4188034188034
74,../blocksworld/blocksworld_from_1_24_0_to_9_16_0_negated_goal_bmc_24.smt2,201,127663,635.139303482587
75,../blocksworld/blocksworld_from_1_2_10_to_13_0_0_negated_goal_bmc_12.smt2,117,35851,306.4188034188034
76,../blocksworld/blocksworld_from_6_1_0_to_7_0_0_negated_goal_bmc_2.smt2,47,3364,71.57446808510639
77,../blocksworld/blocksworld_from_13_2_4_to_13_3_3_negated_goal_bmc_29.smt2,236,164417,696.6822033898305
78,../blocksworld/blocksworld_from_3_0_3_to_1_2_3_negated_goal_bmc_4.smt2,61,6153,100.8688524590164
79,../blocksworld/blocksworld_from_0_18_5_to_17_0_6_negated_goal_bmc_45.smt2,348,366685,1053.692528735632
80,../blocksworld/blocksworld_from_6_2_14_to_12_6_4_negated_goal_bmc_28.smt2,229,159534,696.6550218340611
81,../blocksworld/blocksworld_from_12_0_3_to_8_3_4_negated_goal_bmc_21.smt2,180,90885,504.9166666666667
82,../blocksworld/blocksworld_from_13_1_6_to_8_7_5_negated_goal_bmc_34.smt2,271,218568,806.5239852398524
83,../blocksworld/blocksworld_from_7_3_1_to_5_6_0_negated_goal_bmc_14.smt2,131,44288,338.0763358778626
